,date,dew_point,max_temp,max_temp_flag,min_temp,min_temp_flag,precip,precip_flag,sea_level_pressure
228,1947-05-25,9999.9,69.3,*,46.4,*,99.99, ,1011.7
229,1947-05-26,9999.9,67.3,*,58.3,*,99.99, ,1011.5
230,1947-05-27,9999.9,59.4,*,44.4,*,99.99, ,1016.8
231,1947-05-28,9999.9,53.4,*,41.4,*,99.99, ,1012.8
232,1947-05-29,9999.9,56.3,*,37.4,*,99.99, ,1007.3
233,1947-05-30,9999.9,61.3,*,39.4,*,0.0,I,1017.4
234,1947-05-31,9999.9,75.4,*,42.4,*,0.0,I,1017.7
235,1947-06-01,9999.9,71.2,*,58.3,*,99.99, ,1008.9
236,1947-06-02,9999.9,67.3,*,47.3,*,99.99, ,1009.2
237,1947-06-03,45.4,62.4,*,43.3,*,0.0,I,1021.3
238,1947-06-04,47.3,75.4,*,44.4,*,0.0,I,1019.9
239,1947-06-05,62.7,80.2,*,66.4,*,99.99, ,1011.2
240,1947-06-06,64.6,81.3,*,60.3,*,99.99, ,1012.6
241,1947-06-07,60.0,79.3,*,52.3,*,99.99, ,1010.8
242,1947-06-08,58.9,72.3,*,57.4,*,99.99, ,1011.3
243,1947-06-09,60.8,86.4,*,51.3,*,0.0,I,1009.2
244,1947-06-10,69.2,87.3,*,73.4,*,0.0,I,1001.5
245,1947-06-11,58.8,80.2,*,56.3,*,99.99, ,1007.5
246,1947-06-12,43.6,58.3,*,48.4,*,0.0,I,1020.0
247,1947-06-13,54.6,73.4,*,49.3,*,99.99, ,1010.7
248,1947-06-14,50.6,59.4,*,50.4,*,99.99, ,1005.9
249,1947-06-15,52.0,62.4,*,52.3,*,0.0,I,1012.4
250,1947-06-16,47.6,71.2,*,44.4,*,0.0,I,1018.8
251,1947-06-17,53.6,66.4,*,56.3,*,99.99, ,1013.9
252,1947-06-18,52.7,70.3,*,50.4,*,0.0,I,1015.9
253,1947-06-19,47.5,68.4,*,45.3,*,0.0,I,1020.8
254,1947-06-20,48.6,77.4,*,48.4,*,0.0,I,1020.5
255,1947-06-21,51.9,78.3,*,57.4,*,0.0,I,1020.7
256,1947-06-22,55.5,84.4,*,61.3,*,0.0,I,1020.8
257,1947-06-23,57.9,80.2,*,62.4,*,99.99, ,1019.6
258,1947-06-24,62.7,81.3,*,64.4,*,99.99, ,1015.9
259,1947-06-25,62.2,78.3,*,59.4,*,99.99, ,1012.8
260,1947-06-26,63.4,85.3,*,59.4,*,0.0,I,1011.4
261,1947-06-27,69.2,83.3,*,69.3,*,0.0,I,1007.0
262,1947-06-28,70.1,91.2,*,65.3,*,0.0,I,1008.9
263,1947-06-29,69.3,87.3,*,69.3,*,0.0,I,1012.5
264,1947-06-30,67.7,83.3,*,65.3,*,0.0,I,1015.2
265,1947-07-01,59.0,79.3,*,64.4,*,0.0,I,1016.8
266,1947-07-02,53.8,75.4,*,56.3,*,0.0,I,1021.7
267,1947-07-03,54.5,89.2,*,55.4,*,0.0,I,1020.9
268,1947-07-04,60.4,85.3,*,63.3,*,0.0,I,1017.6
269,1947-07-05,64.4,81.3,*,67.3,*,99.99, ,1014.8
270,1947-07-06,62.2,75.4,*,65.3,*,0.0,I,1015.3
271,1947-07-07,53.3,76.3,*,55.4,*,0.0,I,1022.1
272,1947-07-08,53.0,75.4,*,54.3,*,0.0,I,1025.3
273,1947-07-09,51.2,77.4,*,55.4,*,0.0,I,1021.8
274,1947-07-10,55.1,74.3,*,61.3,*,0.0,I,1016.1
275,1947-07-11,59.7,84.4,*,56.3,*,0.0,I,1015.2
276,1947-07-12,9999.9,89.2,*,65.3,*,0.0,I,1016.0
277,1947-07-13,68.1,90.3,*,67.3,*,99.99, ,1012.1
278,1947-07-14,67.1,84.4,*,68.4,*,99.99, ,1009.7
279,1947-07-15,65.0,77.4,*,67.3,*,99.99, ,1010.2
280,1947-07-16,65.0,79.3,*,66.4,*,0.0,I,1011.9
281,1947-07-17,67.2,89.2,*,65.3,*,0.0,I,1011.9
282,1947-07-18,66.0,83.3,*,74.3,*,0.0,I,1008.5
283,1947-07-19,51.2,72.3,*,58.3,*,0.0,I,1017.3
284,1947-07-20,60.8,78.3,*,64.4,*,99.99, ,1011.7
285,1947-07-21,52.1,66.4,*,59.4,*,0.0,I,1019.3
286,1947-07-22,46.5,66.4,*,54.3,*,0.0,I,1022.2
287,1947-07-23,56.0,75.4,*,62.4,*,0.0,I,1023.0
288,1947-07-24,60.7,81.3,*,68.4,*,0.0,I,1027.3
289,1947-07-25,66.3,85.3,*,67.3,*,0.0,I,1025.9
290,1947-07-26,71.7,90.3,*,77.4,*,0.0,I,1019.8
291,1947-07-27,69.9,82.4,*,72.3,*,0.0,I,1014.3
292,1947-07-28,64.3,83.3,*,69.3,*,0.0,I,1018.6
293,1947-07-29,63.5,90.3,*,72.3,*,0.0,I,1017.4
294,1947-07-30,74.2,97.3,*,76.3,*,0.0,I,1011.0
295,1947-07-31,58.0,66.4,*,63.3,*,0.0,I,1018.9
296,1947-08-01,60.9,75.4,*,62.4,*,0.0,I,1018.4
297,1947-08-02,73.4,88.3,*,67.3,*,0.0,I,1011.5
298,1947-08-03,75.7,89.2,*,77.4,*,0.0,I,1017.3
299,1947-08-04,74.5,98.2,*,77.4,*,0.0,I,1016.0
300,1947-08-05,69.6,98.2,*,83.3,*,0.0,I,1013.3
301,1947-08-06,71.8,99.3,*,86.4,*,0.0,I,1011.7
302,1947-08-07,69.9,83.3,*,73.4,*,0.0,I,1016.2
303,1947-08-08,64.2,83.3,*,73.4,*,0.0,I,1020.6
304,1947-08-09,65.2,86.4,*,73.4,*,0.0,I,1018.0
305,1947-08-11,72.6,93.4,*,78.3,*,0.0,I,1019.5
306,1947-08-12,66.9,92.3,*,78.3,*,0.0,I,1018.9
307,1947-08-13,74.1,92.3,*,78.3,*,99.99, ,1014.8
308,1947-08-14,67.4,84.4,*,78.3,*,0.0,I,1014.1
309,1947-08-15,63.6,82.4,*,75.4,*,0.0,I,1017.5
310,1947-08-16,60.8,82.4,*,74.3,*,0.0,I,1020.2
311,1947-08-17,74.2,97.3,*,78.3,*,0.0,I,1018.7
312,1947-08-18,74.3,97.3,*,80.2,*,0.0,I,1020.1
313,1947-08-19,75.9,94.3,*,80.2,*,0.0,I,1019.7
314,1947-08-20,74.2,96.3,*,79.3,*,0.0,I,1020.1
315,1947-08-21,75.1,93.4,*,81.3,*,0.0,I,1021.8
316,1947-08-22,75.8,95.4,*,81.3,*,0.0,I,1020.8
317,1947-08-23,72.6,96.3,*,82.4,*,0.0,I,1017.9
318,1947-08-24,74.9,98.2,*,82.4,*,99.99, ,1015.7
319,1947-08-25,72.7,82.4,*,71.2,*,99.99, ,1017.3
320,1947-08-26,64.2,75.4,*,64.4,*,0.0,I,1019.2
321,1947-08-27,68.1,85.3,*,65.3,*,0.0,I,1018.7
322,1947-08-28,70.7,91.2,*,75.4,*,0.0,I,1018.4
323,1947-08-29,70.0,79.3,*,69.3,*,99.99, ,1017.7
324,1947-08-30,76.1,91.2,*,75.4,*,0.0,I,1014.7
325,1947-08-31,67.7,79.3,*,71.2,*,0.0,I,1018.9
326,1947-09-01,72.5,86.0,*,68.4,*,0.0,I,1010.0
327,1947-09-02,67.3,87.3,*,66.4,*,0.0,I,1015.3
328,1947-09-03,67.4,92.3,*,70.3,*,0.0,I,1015.1
329,1947-09-04,70.1,77.4,*,70.3,*,99.99, ,1012.7
330,1947-09-05,69.3,78.3,*,68.4,*,0.0,I,1010.5
331,1947-09-06,73.2,86.4,*,70.3,*,0.0,I,1016.4
332,1947-09-07,67.7,87.3,*,66.4,*,0.0,I,1020.2
333,1947-09-08,71.0,88.3,*,73.4,*,0.0,I,1019.6
334,1947-09-10,72.3,87.3,*,72.3,*,0.0,I,1012.5
335,1947-09-11,70.9,88.3,*,73.4,*,0.0,I,1015.8
336,1947-09-12,70.6,80.2,*,70.3,*,0.0,I,1011.8
337,1947-09-13,60.2,75.4,*,63.3,*,0.0,I,1008.5
338,1947-09-14,73.1,85.3,*,72.3,*,99.99, ,1012.6
339,1947-09-15,50.3,68.4,*,52.3,*,0.0,I,1016.4
340,1947-09-16,51.3,76.3,*,53.4,*,0.0,I,1019.8
341,1947-09-17,54.0,81.3,*,54.3,*,0.0,I,1025.6
342,1947-09-18,66.4,88.3,*,72.3,*,0.0,I,1025.9
343,1947-09-19,67.5,88.3,*,64.4,*,0.0,I,1023.2
344,1947-09-20,69.7,89.2,*,69.3,*,0.0,I,1017.9
345,1947-09-21,59.1,78.3,*,51.3,*,99.99, ,1007.3
346,1947-09-22,40.7,55.4,*,40.3,*,0.0,I,1024.6
347,1947-09-23,41.7,66.4,*,38.3,*,0.0,I,1022.5
348,1947-09-24,48.1,66.4,*,48.4,*,0.0,I,1020.3
349,1947-09-25,44.2,56.3,*,45.3,*,0.0,I,1029.6
350,1947-09-26,34.9,59.4,*,34.3,*,0.0,I,1034.6
351,1947-09-27,40.6,62.4,*,32.4,*,0.0,I,1034.9
352,1947-09-28,49.8,68.4,*,46.4,*,99.99, ,1022.6
353,1947-09-29,48.0,65.3,*,48.4,*,0.0,I,1024.2
354,1947-09-30,38.3,50.4,*,37.4,*,99.99, ,1035.5
355,1947-10-01,38.4,60.3,*,31.3,*,0.0,I,1031.6
356,1947-10-02,43.5,70.3,*,48.4,*,99.99, ,1023.9
357,1947-10-03,53.5,80.2,*,55.4,*,0.0,I,1018.7
358,1947-10-04,59.3,72.3,*,59.4,*,0.0,I,1017.7
359,1947-10-05,50.5,77.4,*,57.4,*,0.0,I,1019.8
360,1947-10-07,64.4,82.4,*,63.3,*,0.0,I,1019.2
361,1947-10-08,51.6,73.4,*,53.4,*,0.0,I,1022.3
362,1947-10-09,45.7,62.4,*,47.3,*,0.0,I,1024.4
363,1947-10-10,46.7,64.4,*,39.4,*,0.0,I,1022.9
364,1947-10-11,57.7,75.4,*,41.4,*,0.0,I,1018.6
365,1947-10-12,58.9,80.2,*,50.4,*,0.0,I,1019.3
366,1947-10-13,49.8,72.3,*,49.3,*,0.0,I,1021.9
367,1947-10-14,58.0,82.4,*,54.3,*,0.0,I,1018.5
368,1947-10-15,62.0,85.3,*,56.3,*,0.0,I,1016.6
369,1947-10-16,58.8,84.4,*,48.4,*,0.0,I,1013.9
370,1947-10-17,59.8,83.3,*,56.3,*,0.0,I,1010.9
371,1947-10-18,62.4,80.2,*,62.4,*,99.99, ,1009.8
372,1947-10-19,50.0,75.4,*,52.3,*,99.99, ,1014.0
373,1947-10-20,43.6,79.3,*,45.3,*,0.0,I,1018.0
374,1947-10-21,51.4,85.3,*,49.3,*,0.0,I,1017.5
375,1947-10-22,54.2,83.3,*,53.4,*,0.0,I,1017.2
376,1947-10-23,50.4,66.4,*,54.3,*,0.0,I,1020.6
377,1947-10-24,46.6,63.3,*,50.4,*,0.0,I,1024.1
378,1947-10-25,53.5,72.3,*,53.4,*,99.99, ,1021.7
