"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-26",,"80",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-27",,"81","88","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-28",,"80",,"73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-29","0.31","80","86","72"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-30","0.00","81","88",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-31",,"79",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-01","0.35","78","84","70"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-02",,"79","84","72"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-03","0.08","81","88",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-04","0.00","83","88",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-05",,"79","88",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-06","0.39","76","84",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-07","0.00","74","84","68"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-08","0.79","73",,"66"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-09","0.00","72",,"63"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-10",,"75",,"64"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-11",,"77","88","64"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-12",,"82",,"73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-13",,"82",,"73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-14",,"80",,"73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-15",,"82","91","72"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-16",,"80",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-17",,"79",,"72"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-18",,"80",,"70"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-19",,"79","88","72"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-20",,"80","90","72"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1953-01-21",,"81","90","72"
